0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:30:55 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:31:06 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:31:17 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 2419
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:31:59 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 2405
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:32:21 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:33:09 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:34:56 +0700] "GET /Bai_22/product.jsp? HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:34:57 +0700] "GET /Bai_22/product.jsp? HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:34:58 +0700] "GET /Bai_22/product.jsp? HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:34:58 +0700] "GET /Bai_22/product.jsp? HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:35:01 +0700] "GET /Bai_22/product.jsp? HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:36:30 +0700] "GET /Bai_22/product.jsp? HTTP/1.1" 200 2420
